Product ID [Non Editable],Variant ID [Non Editable],Product Type [Non Editable],Product Page,Product URL,Title,Description,SKU,GTIN,MPN,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs
,,PHYSICAL,clothing,,H&M Pink Knit Cardigan Size 8-10,"<p>Clothing item for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p><p><strong>Materials:</strong> 100% Cotton</p>",SC-HM-12,,,Size,8-10,,,,,8.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, h&m",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/IMG_5352.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/IMG_5351.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/IMG_5384.jpg"
,,PHYSICAL,clothing,,Janie and Jack Black Plaid Dress with Faux Fur Size 12,"<p>Janie and Jack Plaid dress for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p><p><strong>Materials:</strong> Dress: 100% Cotton / Faux Fur Trim: 75% Acrylic, 25% Polyester</p>",SC-JANIEAND-14,,,Size,12,,,,,28.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, janie, dress",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/IMG_5361.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/IMG_5383.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/IMG_5357.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/plaid%20dress%20Janie%20%26%20Jack.jpg"
,,PHYSICAL,clothing,,Baby Gap Disney Mickey Mouse Navy Sweater Size 5 Years,"<p>Mic clothing item for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p><p><strong>Materials:</strong> 100% Cotton</p>",SC-BABYGAPD-18,,,Size,5 Years,,,,,9.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, baby",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/IMG_5570.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/IMG_5572.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/Mic.jpg"
,,PHYSICAL,clothing,,Ralph Lauren Navy Polo Shirt Size 4/4T,"<p>Clothing item for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p><p><strong>Materials:</strong> 100% Cotton</p>",SC-RALPHLAU-20,,,Size,4/4T,,,,,16.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, ralph",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/IMG_5579.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/IMG_5580.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/IMG_5582.jpg"
,,PHYSICAL,clothing,,IZOD Plaid Long Sleeve Button-Up Shirt Size 12,"<p>IZOD Plaid Long Sleeve button-up shirt for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-IZOD-23,,,Size,12,,,,,8.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, izod, button-up shirt",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/izod%20plaid%20button%20up%20long%20sleeve%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/izod%20plaid%20button%20up%20long%20sleeve.jpg"
,,PHYSICAL,clothing,,Janie and Jack White Ruffle Collar Long Sleeve Shirt Size M,"<p>Janie and Jack White Ruffle Collar long sleeve shirt for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-JANIEAND-24,,,Size,M,,,,,22.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, janie, long sleeve shirt",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/janie%20and%20jack%20white%20long%20sleeve%20ruffle%20collar%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/janie%20and%20jack%20white%20long%20sleeve%20ruffle%20collar.jpg"
,,PHYSICAL,clothing,,Joules Horses Sweater Size l,"<p>Joules Horses sweater for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-JOULES-25,,,Size,L,,,,,16.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, joules, sweater",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/joules%202%20horses%20sweater%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/joules%202%20horses%20sweater%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/joules%202%20horses%20sweater.jpg"
,,PHYSICAL,clothing,,Joules Unicorn Stripe Size 9,"<p>Joules Unicorn Stripe clothing item for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-JOULES-26,,,Size,9,,,,,15.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, joules",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/joules%20unicorn%20stripe%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/joules%20unicorn%20stripe%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/joules%20unicorn%20stripe.jpg"
,,PHYSICAL,clothing,,Gap Kids Cotton Floral Size MM,"<p>Gap Kids Cotton Floral clothing item for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-GAPKIDS-27,,,Size,MM,,,,,9.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, gap",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/kids%20gap%20cotton%20floral%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/kids%20gap%20cotton%20floral%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/kids%20gap%20cotton%20floral.jpg"
,,PHYSICAL,clothing,,Hanna Andersson Long Sleeve Blue Sweater Size M,"<p>Hanna Andersson Long Sleeve Blue sweater for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p><p><strong>Materials:</strong> 70% Cotton / 30% Recycled Polyester</p>",SC-HANNAAND-28,,,Size,M,,,,,15.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, hanna, sweater",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/long%20sleeve%20blue%20sweater%20hanna%20andersson%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/long%20sleeve%20blue%20sweater%20hanna%20andersson%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/long%20sleeve%20blue%20sweater%20hanna%20andersson.jpg"
